chat_session, #user_utterance, #cpu_utterance, elasped time (sec)
04-05-2022 12-29-35,3,12,14.471206
04-05-2022 12-30-17,3,7,13.989500
04-05-2022 12-42-25,4,19,18.943507
04-05-2022 15-24-28,4,19,20.677825
